,A,,,B,,,A,,,B,,,A,,,B,
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,7,7,,7,7,,8,8,,8,8,,9,9,,9,9
1,8.4,0.28,,8.35,0.305,,7.2,0.43,,7.1,0.43,,8.5,0.37,,8.35,0.36
2,8.3,0.33,,8.25,0.33,,7,0.43,,7.25,0.505,,8.2,0.35,,8.35,0.36
3,8.2,0.33,,8.1,0.29,,7.5,0.58,,7.45,0.49,,8.5,0.37,,8.5,0.35
4,8,0.25,,8,0.295,,7.4,0.4,,7.55,0.425,,8.5,0.33,,8.4,0.355
5,8,0.34,,7.9,0.33,,7.7,0.45,,7.65,0.515,,8.3,0.38,,8.4,0.38
6,7.8,0.32,,7.85,0.33,,7.6,0.58,,7.45,0.495,,8.5,0.38,,8.3,0.405
7,7.9,0.34,,7.95,0.345,,7.3,0.41,,7.25,0.445,,8.1,0.43,,8.4,0.445
8,8,0.35,,7.8,0.355,,7.2,0.48,,7.25,0.53,,8.7,0.46,,8.55,0.45
9,7.6,0.36,,7.7,0.375,,7.3,0.58,,7.35,0.495,,8.4,0.44,,8.45,0.435
10,7.8,0.39,,8.05,0.375,,7.4,0.41,,7.3,0.415,,8.5,0.43,,8.5,0.405
11,8.3,0.36,,8.35,0.375,,7.2,0.42,,7.2,0.425,,8.5,0.38,,8.5,0.36
12,8.4,0.39,,8.4,0.335,,,,,,,,8.5,0.34,,8.5,0.355
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,10,10,,10,10,,11,11,,11,11,,12,12,,12,12
1,8.7,0.46,,8.55,0.455,,6.4,0.34,,6.45,0.385,,7.9,0.41,,7.95,0.405
2,8.4,0.45,,8.25,0.445,,6.5,0.43,,6.2,0.405,,8,0.4,,8.1,0.375
3,8.1,0.44,,8.1,0.45,,5.9,0.38,,6.2,0.4,,8.2,0.35,,8.15,0.345
4,8.1,0.46,,7.85,0.49,,6.5,0.42,,6.35,0.415,,8.1,0.34,,7.85,0.355
5,7.6,0.52,,7.85,0.505,,6.2,0.41,,6.1,0.4,,7.6,0.37,,7.8,0.395
6,8.1,0.49,,8.1,0.485,,6,0.39,,6.25,0.395,,8,0.42,,7.75,0.39
7,8.1,0.48,,8.1,0.475,,6.5,0.4,,6.45,0.39,,7.5,0.36,,7.6,0.35
8,8.1,0.47,,8.1,0.47,,6.4,0.38,,5.95,0.41,,7.7,0.34,,7.85,0.375
9,8.1,0.47,,8.15,0.485,,5.5,0.44,,6.05,0.425,,8,0.41,,7.95,0.425
10,8.2,0.5,,8.3,0.475,,6.6,0.41,,6.6,0.41,,7.9,0.44,,6.9,0.435
11,8.4,0.45,,8.35,0.43,,6.6,0.41,,6.5,0.375,,5.9,0.43,,7.1,0.42
12,8.3,0.41,,8.25,0.43,,,,,,,,8.3,0.41,,8.2,0.41
13,8.2,0.45,,8.45,0.455,,,,,,,,8.1,0.41,,8.05,0.405
,,,,,,,,,,,,,8,0.4,,7.95,0.405
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,13,13,,13,13,,14,14,,14,14,,15,15,,15,15
1,8.5,0.41,,8.4,0.385,,7.9,0.4,,7.95,0.4,,6.7,0.39,,7.05,0.41
2,8.3,0.36,,8.4,0.405,,8,0.4,,8,0.375,,7.4,0.43,,7.3,0.44
3,8.5,0.45,,8.45,0.455,,8,0.35,,8,0.395,,7.2,0.45,,7.25,0.435
4,8.4,0.46,,8.35,0.465,,8,0.44,,7.8,0.47,,7.3,0.42,,7.2,0.44
5,8.3,0.47,,8.2,0.485,,7.6,0.5,,7.65,0.48,,7.1,0.46,,7.05,0.455
6,8.1,0.5,,8.2,0.505,,7.7,0.46,,7.7,0.495,,7,0.45,,6.95,0.455
7,8.3,0.51,,8.15,0.48,,7.7,0.53,,7.7,0.495,,6.9,0.46,,7,0.445
8,8,0.45,,8.05,0.49,,7.7,0.46,,7.7,0.435,,7.1,0.43,,7.15,0.45
9,8.1,0.53,,8,0.51,,7.7,0.41,,7.65,0.395,,7.2,0.47,,7.3,0.475
10,7.9,0.49,,8,0.45,,7.6,0.38,,7.5,0.385,,7.4,0.48,,7.35,0.485
11,8.1,0.41,,8.2,0.39,,7.4,0.39,,7.55,0.38,,7.3,0.49,,7.4,0.45
12,8.3,0.37,,8.4,0.39,,7.7,0.37,,7.8,0.385,,7.5,0.41,,7.1,0.4
13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,16,16,,16,16,,17,17,,17,17,,,,,,
1,8.6,0.4,,8.45,0.385,,8.4,0.39,,8.2,0.38,,,,,,
2,8.3,0.37,,8.4,0.36,,8,0.37,,7.95,0.37,,,,,,
3,8.5,0.35,,8.4,0.36,,7.9,0.37,,8.2,0.395,,,,,,
4,8.3,0.37,,8.25,0.38,,8.5,0.42,,8.4,0.44,,,,,,
5,8.2,0.39,,8.15,0.4,,8.3,0.46,,8.45,0.45,,,,,,
6,8.1,0.41,,8.3,0.385,,8.6,0.44,,8.35,0.455,,,,,,
7,8.5,0.36,,8.35,0.36,,8.1,0.47,,8.1,0.44,,,,,,
8,8.2,0.36,,8.05,0.375,,8.1,0.41,,8.05,0.435,,,,,,
9,7.9,0.39,,8.05,0.415,,8,0.46,,8.15,0.44,,,,,,
10,8.2,0.44,,8.25,0.435,,8.3,0.42,,8.2,0.415,,,,,,
11,8.3,0.43,,8.4,0.415,,8.1,0.41,,8.2,0.42,,,,,,
12,8.5,0.4,,8.55,0.4,,8.3,0.43,,8.35,0.41,,,,,,
13,,,,,,,,,,,,,,,,,
